floor,plate,zone,total_area,studio_count,studio_area,1B_count,1B_area,2B_count,2B_area,3B_count,3B_area,PH_count,PH_area
1,lower,1,958.8,4,47.5,11,69.89,0,0.0,0,0.0,0,0.0
2,lower,1,958.8,4,47.5,11,69.89,0,0.0,0,0.0,0,0.0
3,lower,1,958.8,4,47.5,11,69.89,0,0.0,0,0.0,0,0.0
4,mid,2,867.0,0,0.0,0,0.0,8,94.12,1,114.0,0,0.0
5,mid,2,867.0,0,0.0,0,0.0,8,94.12,1,114.0,0,0.0
6,mid,2,867.0,0,0.0,0,0.0,8,94.12,1,114.0,0,0.0
7,mid,2,867.0,0,0.0,0,0.0,8,94.12,1,114.0,0,0.0
8,mid,2,867.0,0,0.0,0,0.0,8,94.12,1,114.0,0,0.0
9,mid,2,867.0,0,0.0,0,0.0,8,94.12,1,114.0,0,0.0
10,mid,2,867.0,0,0.0,0,0.0,8,94.12,1,114.0,0,0.0
11,mid,2,867.0,0,0.0,0,0.0,8,94.12,1,114.0,0,0.0
12,upper,3,652.8,0,0.0,0,0.0,0,0.0,4,122.51,1,162.75
13,upper,3,652.8,0,0.0,0,0.0,0,0.0,4,122.51,1,162.75
14,upper,3,652.8,0,0.0,0,0.0,0,0.0,4,122.51,1,162.75
15,upper,3,652.8,0,0.0,0,0.0,0,0.0,4,122.51,1,162.75
16,upper,3,652.8,0,0.0,0,0.0,0,0.0,4,122.51,1,162.75
17,upper,3,652.8,0,0.0,0,0.0,0,0.0,4,122.51,1,162.75
18,upper,3,652.8,0,0.0,0,0.0,0,0.0,4,122.51,1,162.75
19,upper,3,652.8,0,0.0,0,0.0,0,0.0,4,122.51,1,162.75
