num_plates,F,T,K,units_milp,units_lp,integrality_gap,milp_time_sec,lp_time_sec,milp_status
1,40,3,1,,,nan,0.0,0.0,no_count_vectors_for_plate:M
1,40,3,5,,,nan,0.0,0.0,no_count_vectors_for_plate:M
1,40,4,1,,719.9999989999999,nan,0.024,0.012,Infeasible
1,40,4,5,719.999997,719.9999989999999,2.7777776244363926e-09,0.03,0.012,Optimal
1,40,5,1,719.999999,719.999999,0.0,4.524,0.729,Optimal
1,40,5,5,719.999998,719.999999,1.3888888892383771e-09,3.566,0.826,Optimal
1,70,3,1,,,nan,0.0,0.0,no_count_vectors_for_plate:M
1,70,3,5,,,nan,0.0,0.0,no_count_vectors_for_plate:M
1,70,4,1,,1259.999999,nan,0.028,0.017,Infeasible
1,70,4,5,1259.9999959999996,1259.999999,2.380952653180692e-09,0.109,0.017,Optimal
1,70,5,1,1259.999999,1259.999999,0.0,4.967,0.774,Optimal
1,70,5,5,1259.9999979999998,1259.999999,7.936508831338006e-10,1.744,0.775,Optimal
2,40,3,2,,,nan,0.0,0.0,no_count_vectors_for_plate:M
2,40,3,6,,,nan,0.0,0.0,no_count_vectors_for_plate:M
2,40,4,2,677.9999980000332,677.999998,-4.896247302741333e-14,0.149,0.066,Optimal
2,40,4,6,677.9999980000332,677.999998,-4.896247302741333e-14,0.149,0.078,Optimal
2,40,5,2,677.999998000001,677.9999979999999,-1.6767970214868374e-15,4.703,0.984,Optimal
2,40,5,6,677.999997,677.9999979999999,1.4749260888078294e-09,45.827,1.149,Optimal
2,70,3,2,,,nan,0.0,0.0,no_count_vectors_for_plate:M
2,70,3,6,,,nan,0.0,0.0,no_count_vectors_for_plate:M
2,70,4,2,1187.9999979999939,1187.9999979999998,4.9761915584776695e-15,0.153,0.067,Optimal
2,70,4,6,1187.9999979999939,1187.9999979999998,4.9761915584776695e-15,0.154,0.077,Optimal
2,70,5,2,1187.999998,1187.9999979999998,-1.913919830183709e-16,14.568,0.849,Optimal
2,70,5,6,1187.9999959999996,1187.9999979999998,1.683501876310173e-09,42.852,0.984,Optimal
3,40,3,3,,,nan,0.0,0.0,no_count_vectors_for_plate:M
3,40,3,7,,,nan,0.0,0.0,no_count_vectors_for_plate:M
3,40,4,3,663.999997,663.9999970000001,1.7121511782393098e-16,0.213,0.093,Optimal
3,40,4,7,663.999997,663.9999970000001,1.7121511782393098e-16,0.194,0.095,Optimal
3,40,5,3,663.999997,663.999997,0.0,3.724,1.132,Optimal
3,40,5,7,663.999996,663.999997,1.506024101653363e-09,3.988,0.948,Optimal
3,70,3,3,,,nan,0.0,0.0,no_count_vectors_for_plate:M
3,70,3,7,,,nan,0.0,0.0,no_count_vectors_for_plate:M
3,70,4,3,1163.9999969999917,1163.999997,7.032175547290298e-15,0.194,0.077,Optimal
3,70,4,7,1163.9999969999917,1163.999997,7.032175547290298e-15,0.167,0.078,Optimal
3,70,5,3,1163.9999969999997,1163.9999970000001,3.9067641929390276e-16,4.267,1.016,Optimal
3,70,5,7,1163.9999959999996,1163.9999970000001,8.591070183376294e-10,2.026,1.029,Optimal
4,40,3,4,,,nan,0.0,0.0,no_count_vectors_for_plate:M
4,40,3,8,,,nan,0.0,0.0,no_count_vectors_for_plate:M
4,40,4,4,659.999996,659.999996,0.0,0.26,0.105,Optimal
4,40,4,8,659.999996,659.9999954990236,-7.590551533012955e-10,0.228,0.119,Optimal
4,40,5,4,659.999996,659.999996,0.0,7.601,1.396,Optimal
4,40,5,8,659.999995,659.999996,1.5151515228022503e-09,2.604,1.46,Optimal
4,70,3,4,,,nan,0.0,0.0,no_count_vectors_for_plate:M
4,70,3,8,,,nan,0.0,0.0,no_count_vectors_for_plate:M
4,70,4,4,1155.9999959999973,1155.999996,2.360280376087848e-15,0.312,0.135,Optimal
4,70,4,8,1155.9999959999973,1155.999996,2.360280376087848e-15,0.27,0.137,Optimal
4,70,5,4,1155.9999959999993,1155.999996,5.90070094021961e-16,6.116,1.243,Optimal
4,70,5,8,1155.9999949999994,1155.9999950846814,7.325425188572507e-11,2.482,1.169,Optimal
