num_plates,F,T,K,solver,units_milp,units_lp,integrality_gap,milp_time_sec,lp_time_sec,milp_status
1,40,3,1,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
1,40,3,5,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
1,40,4,1,Gurobi,,719.999999,nan,0.02,0.013,Infeasible
1,40,4,5,Gurobi,719.999998,719.999999,1.3888888892383771e-09,0.014,0.012,Optimal
1,40,5,1,Gurobi,719.999999,719.999999,0.0,1.321,0.521,Optimal
1,40,5,5,Gurobi,719.999998,719.999999,1.3888888892383771e-09,1.563,0.725,Optimal
1,70,3,1,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
1,70,3,5,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
1,70,4,1,Gurobi,,1259.999999,nan,0.018,0.018,Infeasible
1,70,4,5,Gurobi,1259.9999979999998,1259.999999,7.936508831338006e-10,0.018,0.018,Optimal
1,70,5,1,Gurobi,1259.999999,1259.9999990000001,1.8045529811389438e-16,1.637,0.702,Optimal
1,70,5,5,Gurobi,1259.9999979999998,1259.9999990000001,7.936510635890988e-10,1.634,0.758,Optimal
2,40,3,2,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
2,40,3,6,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
2,40,4,2,Gurobi,677.999998,677.999998,0.0,0.105,0.088,Optimal
2,40,4,6,Gurobi,677.999998,677.999998,0.0,0.105,0.075,Optimal
2,40,5,2,Gurobi,677.999998,677.999998,0.0,3.025,0.95,Optimal
2,40,5,6,Gurobi,677.999997,677.999998,1.4749262564875319e-09,2.758,0.881,Optimal
2,70,3,2,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
2,70,3,6,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
2,70,4,2,Gurobi,1187.9999979999998,1187.9999979999998,0.0,0.103,0.066,Optimal
2,70,4,6,Gurobi,1187.9999979999998,1187.9999979999998,0.0,0.094,0.058,Optimal
2,70,5,2,Gurobi,1187.9999979999998,1187.999998,1.9139198301837093e-16,2.929,0.909,Optimal
2,70,5,6,Gurobi,1187.9999969999997,1187.999998,8.417511288385251e-10,2.843,0.824,Optimal
3,40,3,3,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
3,40,3,7,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
3,40,4,3,Gurobi,663.999997,663.999997,0.0,0.145,0.126,Optimal
3,40,4,7,Gurobi,663.999997,663.999997,0.0,0.117,0.101,Optimal
3,40,5,3,Gurobi,663.999997,663.999997,0.0,2.875,1.024,Optimal
3,40,5,7,Gurobi,663.999996,663.999997,1.506024101653363e-09,2.846,1.006,Optimal
3,70,3,3,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
3,70,3,7,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
3,70,4,3,Gurobi,1163.9999969999997,1163.9999969999997,0.0,0.14,0.106,Optimal
3,70,4,7,Gurobi,1163.9999969999997,1163.9999969999997,0.0,0.14,0.099,Optimal
3,70,5,3,Gurobi,1163.9999969999997,1163.9999969999997,0.0,2.832,0.991,Optimal
3,70,5,7,Gurobi,1163.9999959999996,1163.9999969999997,8.591066276612098e-10,2.898,1.019,Optimal
4,40,3,4,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
4,40,3,8,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
4,40,4,4,Gurobi,659.999996,659.999996,0.0,0.183,0.141,Optimal
4,40,4,8,Gurobi,659.999995,659.999996,1.5151515228022503e-09,0.161,0.135,Optimal
4,40,5,4,Gurobi,659.999996,659.999996,0.0,3.004,1.072,Optimal
4,40,5,8,Gurobi,659.999996,659.999996,0.0,2.948,1.003,Optimal
4,70,3,4,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
4,70,3,8,Gurobi,,,nan,0.0,0.0,no_count_vectors_for_plate:M
4,70,4,4,Gurobi,1155.9999959999996,1155.9999959999996,0.0,0.181,0.13,Optimal
4,70,4,8,Gurobi,1155.9999959999996,1155.9999959999996,0.0,0.17,0.161,Optimal
4,70,5,4,Gurobi,1155.9999959999996,1155.9999959999996,0.0,2.679,0.913,Optimal
4,70,5,8,Gurobi,1155.9999959999996,1155.9999959999996,0.0,2.699,0.956,Optimal
