T,F,K,sigma,seed,time_limit,solver,v1_status,v1_time_sec,v1_objective,v1_zones_used,v1_total_units,v1_mip_dual_bound,v1_mip_gap_rel,v2_status,v2_time_sec,v2_objective,v2_zones_used,v2_total_units,v2_cv_count,v2_mip_dual_bound,v2_mip_gap_rel,speedup
2,70,3,0.02,42,300.0,Gurobi,Optimal,0.693,-50400.0,1,840,-50400.0,0.0,Optimal,0.003,0.0,1,840,13,0.0,0.0,250.05
2,70,3,0.02,43,300.0,Gurobi,Optimal,1.267,-50400.0,1,840,-50400.0,0.0,Optimal,0.003,0.0,1,840,13,0.0,0.0,482.33
2,70,3,0.02,44,300.0,Gurobi,Optimal,1.292,-50400.0,1,840,-50400.0,0.0,Optimal,0.003,0.0,1,840,13,0.0,0.0,396.29
2,70,3,0.05,42,300.0,Gurobi,Optimal,0.834,-50400.0,1,840,-50400.0,0.0,Optimal,0.003,0.0,1,840,13,0.0,0.0,252.12
2,70,3,0.05,43,300.0,Gurobi,Optimal,0.733,-50400.0,1,840,-50400.0,0.0,Optimal,0.002,0.0,1,840,13,0.0,0.0,300.58
2,70,3,0.05,44,300.0,Gurobi,Optimal,0.704,-50400.0,1,840,-50400.0,0.0,Optimal,0.003,0.0,1,840,13,0.0,0.0,217.58
2,70,3,0.1,42,300.0,Gurobi,Optimal,4.317,-53040.0,3,884,-53040.0,0.0,Optimal,0.003,0.0,1,840,26,0.0,0.0,1321.53
2,70,3,0.1,43,300.0,Gurobi,Optimal,2.856,-53040.0,3,884,-53040.0,0.0,Optimal,0.005,0.0,1,840,26,0.0,0.0,570.12
2,70,3,0.1,44,300.0,Gurobi,Optimal,2.926,-53040.0,3,884,-53040.0,0.0,Optimal,0.005,0.0,1,840,26,0.0,0.0,622.4
3,70,3,0.02,42,300.0,Gurobi,Optimal,41.362,-50350.0,3,795,-50350.0,0.0,Optimal,0.023,0.0,3,780,66,0.0,0.0,1789.13
3,70,3,0.02,43,300.0,Gurobi,Optimal,33.442,-50350.0,3,795,-50350.0,0.0,Optimal,0.024,0.0,3,774,66,0.0,0.0,1366.46
3,70,3,0.02,44,300.0,Gurobi,Optimal,35.313,-50350.0,3,795,-50354.418604651175,8.775778850397168e-05,Optimal,0.014,0.0,3,783,66,0.0,0.0,2441.6
3,70,3,0.05,42,300.0,Gurobi,Optimal,70.498,-52440.0,3,828,-52443.336992316144,6.363448352678223e-05,Optimal,0.029,0.0,3,795,132,0.0,0.0,2424.77
3,70,3,0.05,43,300.0,Gurobi,Optimal,69.917,-52440.0,3,828,-52442.54180602007,4.847074790366475e-05,Optimal,0.023,0.0,3,792,132,0.0,0.0,3071.21
3,70,3,0.05,44,300.0,Gurobi,Optimal,74.023,-52440.0,3,828,-52440.0,0.0,Optimal,0.033,0.0,3,756,132,0.0,0.0,2252.81
3,70,3,0.1,42,300.0,Gurobi,Optimal,115.053,-55100.0,3,870,-55104.849661121465,8.801562833874833e-05,Optimal,0.018,0.0,1,840,222,0.0,0.0,6482.7
3,70,3,0.1,43,300.0,Gurobi,Optimal,98.531,-55100.0,3,870,-55102.923693445475,5.306158703221021e-05,Optimal,0.021,0.0,1,840,222,0.0,0.0,4632.09
3,70,3,0.1,44,300.0,Gurobi,Optimal,99.977,-55100.0,3,870,-55100.0,0.0,Optimal,0.018,0.0,1,840,222,0.0,0.0,5423.41
4,70,3,0.02,42,300.0,Gurobi,Optimal,153.802,-50445.0,3,684,-50448.7341772152,7.402472425809203e-05,Optimal,0.063,0.0,3,672,257,0.0,0.0,2458.54
4,70,3,0.02,43,300.0,Gurobi,Optimal,142.884,-50445.0,3,684,-50445.0,0.0,Optimal,0.063,0.0,3,672,257,0.0,0.0,2265.17
4,70,3,0.02,44,300.0,Gurobi,Optimal,129.655,-50445.0,3,684,-50445.0,0.0,Optimal,0.057,0.0,3,672,257,0.0,0.0,2291.21
4,70,3,0.05,42,300.0,Gurobi,Optimal,137.734,-52215.0,3,708,-52220.0,9.575792396820837e-05,Optimal,0.105,0.0,3,680,453,0.0,0.0,1312.91
4,70,3,0.05,43,300.0,Gurobi,Optimal,190.562,-52215.0,3,708,-52215.0,0.0,Optimal,0.105,0.0,3,680,453,0.0,0.0,1808.32
4,70,3,0.05,44,300.0,Gurobi,Optimal,168.538,-52215.0,3,708,-52215.0,0.0,Optimal,0.125,0.0,3,680,453,0.0,0.0,1353.53
4,70,3,0.1,42,300.0,Gurobi,Optimal,244.841,-55165.0,3,748,-55165.0,0.0,Optimal,0.449,0.0,3,672,779,0.0,0.0,545.39
4,70,3,0.1,43,300.0,Gurobi,Optimal,203.423,-55165.0,3,748,-55169.935266918874,8.946373459392408e-05,Optimal,0.262,0.0,3,728,779,0.0,0.0,775.65
4,70,3,0.1,44,300.0,Gurobi,Optimal,203.914,-55165.0,3,748,-55168.405483405484,6.173268205355061e-05,Optimal,0.368,0.0,3,720,779,0.0,0.0,554.75
5,70,3,0.02,42,300.0,Gurobi,Optimal,44.481,-50544.0,3,540,-50544.0,0.0,Optimal,0.12,0.0,2,525,467,0.0,0.0,371.69
5,70,3,0.02,43,300.0,Gurobi,Optimal,42.156,-50544.0,3,540,-50546.600000000006,5.144032921822216e-05,Optimal,0.114,0.0,2,525,467,0.0,0.0,370.99
5,70,3,0.02,44,300.0,Gurobi,Optimal,43.162,-50544.0,3,540,-50548.9090909091,9.712509712533268e-05,Optimal,0.133,0.0,2,525,467,0.0,0.0,324.43
5,70,3,0.05,42,300.0,Gurobi,Optimal,48.805,-52416.0,3,560,-52416.0,0.0,Optimal,0.567,0.0,2,525,835,0.0,0.0,86.06
5,70,3,0.05,43,300.0,Gurobi,Optimal,55.692,-52416.0,3,560,-52416.0,0.0,Optimal,0.428,0.0,2,525,835,0.0,0.0,130.05
5,70,3,0.05,44,300.0,Gurobi,Optimal,55.112,-52416.0,3,560,-52416.0,0.0,Optimal,2.921,0.0,2,525,835,0.0,0.0,18.86
5,70,3,0.1,42,300.0,Gurobi,Optimal,192.847,-54756.0,3,585,-54757.00250668448,1.830861795023004e-05,Optimal,1.328,0.0,3,560,1491,0.0,0.0,145.23
5,70,3,0.1,43,300.0,Gurobi,Optimal,173.638,-54756.0,3,585,-54761.141477667916,9.389797771779807e-05,Optimal,1.36,0.0,2,525,1491,0.0,0.0,127.67
5,70,3,0.1,44,300.0,Gurobi,Optimal,178.565,-54756.0,3,585,-54760.92631578946,8.996851102089642e-05,Optimal,0.952,0.0,3,560,1491,0.0,0.0,187.58
6,70,3,0.02,42,300.0,Gurobi,Optimal,114.139,-48552.0,3,504,-48552.0,0.0,Optimal,2.388,0.0,3,504,1134,0.0,0.0,47.8
6,70,3,0.02,43,300.0,Gurobi,Optimal,92.041,-48552.0,3,504,-48552.0,0.0,Optimal,0.78,0.0,3,504,1134,0.0,0.0,118.01
6,70,3,0.02,44,300.0,Gurobi,Optimal,95.802,-48552.0,3,504,-48552.0,0.0,Optimal,0.84,0.0,3,504,1134,0.0,0.0,114.0
6,70,3,0.05,42,300.0,Gurobi,Optimal,83.713,-52020.0,3,540,-52020.0,0.0,Optimal,4.774,0.0,3,504,2009,0.0,0.0,17.53
6,70,3,0.05,43,300.0,Gurobi,Optimal,126.406,-52020.0,3,540,-52023.666666666686,7.048571062449191e-05,Optimal,4.997,0.0,3,504,2009,0.0,0.0,25.3
6,70,3,0.05,44,300.0,Gurobi,Optimal,91.047,-52020.0,3,540,-52020.0,0.0,Optimal,5.006,0.0,3,504,2009,0.0,0.0,18.19
6,70,3,0.1,42,300.0,Gurobi,Optimal,178.09,-54910.0,3,570,-54914.73770491803,8.628127696282302e-05,Optimal,5.246,0.0,3,528,3642,0.0,0.0,33.95
6,70,3,0.1,43,300.0,Gurobi,Optimal,197.848,-54910.0,3,570,-54910.0,0.0,Optimal,3.177,0.0,3,504,3642,0.0,0.0,62.28
6,70,3,0.1,44,300.0,Gurobi,Optimal_TimeLimit,300.021,-54910.0,3,570,-58955.99999999994,0.07368421052631473,Optimal,3.465,0.0,3,504,3642,0.0,0.0,86.58
