T,F,K,sigma,seed,time_limit,v1_status,v1_time_sec,v1_objective,v1_zones_used,v1_total_units,v1_mip_dual_bound,v1_mip_gap_rel,v2_status,v2_time_sec,v2_objective,v2_zones_used,v2_total_units,v2_cv_count,v2_mip_dual_bound,v2_mip_gap_rel,speedup
2,70,3,0.02,42,300.0,Optimal,5.662,-50400.00000000351,3,840,-50400.0000000035,0.0,Optimal,0.01,0.0,1,840,13,0.0,0.0,564.54
2,70,3,0.02,43,300.0,Optimal,8.678,-50400.00000002501,3,840,-50400.00000002501,0.0,Optimal,0.009,0.0,1,840,13,0.0,0.0,998.21
2,70,3,0.02,44,300.0,Optimal,5.678,-50400.000000003594,3,840,-50404.92728119665,9.776351573524784e-05,Optimal,0.009,0.0,1,840,13,0.0,0.0,629.72
2,70,3,0.05,42,300.0,Optimal,7.376,-50400.00000003893,3,840,-50400.000000038934,0.0,Optimal,0.01,0.0,1,840,13,0.0,0.0,723.3
2,70,3,0.05,43,300.0,Optimal,6.998,-50400.00000001291,3,840,-50400.00000001291,0.0,Optimal,0.009,0.0,1,840,13,0.0,0.0,816.25
2,70,3,0.05,44,300.0,Optimal,5.904,-50400.0000000682,3,840,-50400.0000000682,0.0,Optimal,0.009,0.0,1,840,13,0.0,0.0,665.67
2,70,3,0.1,42,300.0,Optimal,10.537,-53040.000000003776,3,884,-53042.40714866408,4.5383647441665705e-05,Optimal,0.013,0.0,1,840,26,0.0,0.0,799.87
2,70,3,0.1,43,300.0,Optimal,11.796,-53040.000000014945,3,884,-53045.06613258247,9.551531990051266e-05,Optimal,0.01,0.0,1,840,26,0.0,0.0,1203.57
2,70,3,0.1,44,300.0,Optimal,7.538,-53040.00000000021,3,884,-53045.263157893816,9.922997536963081e-05,Optimal,0.013,0.0,1,840,26,0.0,0.0,580.51
